datetime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-08-28,-0.53161985,-0.6442727,-0.6994078,-0.51699185,-0.15731922,0.16107547,0.35748774,0.37041464,0.33298945,0.34070638,0.27145982,0.19009525,0.124946,-0.006769334,-0.021288276,0.08893488,0.28840378,0.44828668,0.37873274,0.23171757,0.14019994,-0.030255603,-0.1470477,-0.32086533
2015-08-29,-0.34503448,-0.501935,-0.57923317,-0.5719675,-0.45167938,-0.24633285,-0.073087275,0.018711654,-0.018394198,-0.022166759,-0.021500165,-0.10960226,-0.19180252,-0.30317467,-0.28925014,-0.13409315,0.09505913,0.35347795,0.32166213,0.13940077,0.112874694,0.009067704,-0.21346694,-0.4021002
2015-08-30,-0.38807276,-0.5806788,-0.66637146,-0.6506734,-0.55473214,-0.44819182,-0.3516457,-0.2514841,-0.22242452,-0.19806509,-0.15411857,-0.24926387,-0.32262447,-0.43823493,-0.41960606,-0.26197082,-0.013453402,0.25781748,0.3075062,0.20094404,0.17098935,0.06693749,-0.1301178,-0.31765395
2015-08-31,-0.60242516,-0.7431237,-0.7710711,-0.55616975,-0.12727627,0.19417565,0.36159986,0.31417292,0.3245735,0.35403296,0.3092436,0.23340693,0.1949286,0.048733976,0.049715124,0.122011006,0.2422543,0.39130208,0.34169266,0.17073642,0.1132812,-0.0082614925,-0.2047119,-0.33478162
2015-09-01,-0.5806742,-0.6981009,-0.7340071,-0.5392574,-0.13004638,0.23752639,0.42235067,0.43921402,0.40790382,0.414413,0.35134253,0.25958857,0.20100613,0.08181788,0.0402076,0.13706204,0.28019583,0.43139544,0.33749405,0.16783753,0.1296011,-0.04087564,-0.24241954,-0.40132967
2015-09-02,-0.4973181,-0.62755823,-0.7083691,-0.5558337,-0.25068757,0.07655751,0.2933488,0.29910114,0.26189524,0.28147152,0.23904806,0.14901198,0.09777699,-0.029500635,-0.022113798,0.12778862,0.3429356,0.5569593,0.46796465,0.24916956,0.13620095,0.008318992,-0.20608822,-0.383247
2015-09-03,-0.55656314,-0.67440116,-0.7181455,-0.5268852,-0.13399245,0.23925406,0.40740767,0.4207377,0.37008688,0.39137584,0.31669807,0.2124259,0.16266485,0.019261116,-0.006236313,0.10031134,0.2769775,0.46390596,0.39658484,0.18672907,0.0998021,-0.05993351,-0.2534753,-0.3985547
2015-09-04,-0.50370425,-0.6209747,-0.66084194,-0.51274836,-0.20168269,0.15724014,0.3218938,0.3517419,0.28581724,0.2973136,0.20686266,0.09490597,0.04035502,-0.102597594,-0.14180502,-0.044887934,0.14625978,0.340109,0.31244913,0.07230479,-0.011214486,-0.13095285,-0.2923926,-0.42353982
2015-09-05,-0.4287314,-0.5738025,-0.601058,-0.57877886,-0.41548535,-0.19766715,-0.0652582,0.05802868,0.008394789,0.034406908,0.0070759254,-0.11873353,-0.18252513,-0.28212684,-0.3049059,-0.18385135,-0.040776547,0.15264909,0.10796208,-0.04346453,0.041563775,-0.06450721,-0.32934412,-0.51499104
2015-09-06,-0.4514057,-0.66030705,-0.7570156,-0.76893437,-0.681054,-0.60416484,-0.540877,-0.39533532,-0.33364075,-0.31613964,-0.26137424,-0.39247766,-0.5033153,-0.5905831,-0.6016809,-0.43626088,-0.12682849,0.15461767,0.24405937,0.21334907,0.163799,0.06670182,-0.18516387,-0.40106955
2015-09-07,-0.66921836,-0.80872625,-0.84828717,-0.6643152,-0.25587347,0.13406278,0.3851875,0.40607682,0.40020427,0.4019942,0.39264384,0.2791226,0.22704361,0.10095092,0.05104947,0.13981858,0.32789084,0.47519046,0.4146085,0.23322952,0.15539068,0.02102755,-0.22921793,-0.37953824
